CDR1_length,CDR2_length,CDR3_length,count,combination,relative_abundance,is_rare
8,8,11,216,8-8-11,0.4311377245508982,False
11,8,11,116,11-8-11,0.2315369261477046,False
8,8,16,42,8-8-16,0.08383233532934131,False
0,8,11,18,0-8-11,0.03592814371257485,False
11,8,16,17,11-8-16,0.033932135728542916,False
8,8,26,11,8-8-26,0.021956087824351298,False
0,0,16,6,0-0-16,0.011976047904191617,False
11,8,26,4,11-8-26,0.007984031936127744,False
5,8,26,3,5-8-26,0.005988023952095809,False
8,7,11,3,8-7-11,0.005988023952095809,False
9,8,11,3,9-8-11,0.005988023952095809,False
8,8,12,3,8-8-12,0.005988023952095809,False
8,7,16,3,8-7-16,0.005988023952095809,False
0,4,11,3,0-4-11,0.005988023952095809,False
0,10,11,2,0-10-11,0.003992015968063872,True
0,5,11,2,0-5-11,0.003992015968063872,True
0,3,11,2,0-3-11,0.003992015968063872,True
0,7,11,2,0-7-11,0.003992015968063872,True
0,8,26,2,0-8-26,0.003992015968063872,True
0,0,26,2,0-0-26,0.003992015968063872,True
0,0,11,2,0-0-11,0.003992015968063872,True
8,8,10,2,8-8-10,0.003992015968063872,True
0,8,16,2,0-8-16,0.003992015968063872,True
0,4,16,2,0-4-16,0.003992015968063872,True
12,8,11,2,12-8-11,0.003992015968063872,True
7,8,11,2,7-8-11,0.003992015968063872,True
8,10,11,2,8-10-11,0.003992015968063872,True
5,8,11,2,5-8-11,0.003992015968063872,True
0,11,16,1,0-11-16,0.001996007984031936,True
0,0,10,1,0-0-10,0.001996007984031936,True
0,10,26,1,0-10-26,0.001996007984031936,True
0,9,26,1,0-9-26,0.001996007984031936,True
0,9,16,1,0-9-16,0.001996007984031936,True
0,3,16,1,0-3-16,0.001996007984031936,True
0,2,16,1,0-2-16,0.001996007984031936,True
0,7,16,1,0-7-16,0.001996007984031936,True
0,1,11,1,0-1-11,0.001996007984031936,True
8,8,15,1,8-8-15,0.001996007984031936,True
7,8,16,1,7-8-16,0.001996007984031936,True
6,8,11,1,6-8-11,0.001996007984031936,True
2,8,11,1,2-8-11,0.001996007984031936,True
4,8,27,1,4-8-27,0.001996007984031936,True
2,8,26,1,2-8-26,0.001996007984031936,True
6,8,24,1,6-8-24,0.001996007984031936,True
8,8,25,1,8-8-25,0.001996007984031936,True
11,8,10,1,11-8-10,0.001996007984031936,True
10,8,16,1,10-8-16,0.001996007984031936,True
10,8,11,1,10-8-11,0.001996007984031936,True
8,8,21,1,8-8-21,0.001996007984031936,True
11,8,13,1,11-8-13,0.001996007984031936,True
11,8,12,1,11-8-12,0.001996007984031936,True
11,9,10,1,11-9-10,0.001996007984031936,True
11,9,11,1,11-9-11,0.001996007984031936,True
