read_id,n_framework_deviations,has_length_variant_region
ee483856-7f5c-47b6-b9d3-80868b2d1f96,1,False
df11a873-e3ae-48e3-a3f0-d841daa375cb,3,False
feeccaf8-6967-4fea-955e-55037880cab0,2,False
e836ca24-6b1e-4aab-94dc-3da81410942f,1,True
90bf2e15-36cb-4875-b140-420424eae375,0,True
71085ebe-4b6f-46ba-b18d-37b369ab8e0c,0,True
c1d8259e-dfc2-4351-85ac-2bff106c40ad,6,True
1f66f956-926d-4e04-a69f-4f356537bd5e,1,True
12f3a618-516b-4a94-b67b-9d89df992ba9,1,True
afe05e21-59e3-49f5-b532-5168fc4fed47,1,True
5fac6aa7-7452-462e-8503-609f673ba247,2,False
6c7853d3-6d21-4531-88c3-ed6aa7026f90,1,True
5b43a4b2-9a3b-4363-b5d5-8b298098fe71,2,True
a2683621-df98-460f-993a-c9f8dffda817,1,True
e7e18da5-01d4-4f6e-bbc7-be9cbd04c0f1,1,False
3c7fd38b-a601-408a-9ac3-9fdfd95ffa93,0,True
617171fa-7251-4d57-b29b-1f8a75cf4113,1,True
6970952a-5e6b-40db-b78e-b8aa031331f9,3,False
347d762c-90d0-4ae4-afa1-bdd10a75e729,1,False
4743fab2-b8dc-47ff-9ed8-e10dc034a147,0,True
ffc3ea2d-9c22-4e4c-9055-0cfa0245fbe5,0,True
11a3c35c-c3cd-46ff-b21c-3ee8305d8acb,1,True
a1b6f78e-2ce3-48ac-84f9-5e607805c58b,2,False
3cb6717c-b50b-426b-839a-2446cf844f86,1,True
bb2648b9-f513-4f0c-b34a-c11bdf5ffd41,1,True
ac4b5c04-d74b-4113-8de6-747e47db0d32,1,True
93421f26-5e4a-486a-80a3-741921a63a3c,2,False
ecf8f51c-9331-4752-95f3-cc8a24a361cc,1,True
6b522e7d-e958-46d1-b38c-572a49395dec,1,True
86fb5208-7710-420d-a0ba-a752115b052c,2,False
95437374-afde-473a-9395-1da076c6f4db,1,True
d04f058f-d243-44fd-bffb-af62030c36ea,0,True
3d59258b-8f70-4599-b190-8e5b425e6adf,2,False
93092c93-0e87-4382-893a-47716e0a9940,1,True
60b07729-e4a2-4338-99ac-7469ebd07f93,4,True
18f0b6aa-7b06-4e8a-a118-1e0e674fa5e0,1,False
